Time,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Hum_Max,Hum_Avg,Hum_Min,WS_Max,WS_Avg,WS_Min,Pres_Max,Pres_Avg,Pres_Min,Precipitation (in)
11,19,14,10,13,8.3,4,81,78.1,73,15,7.3,0,29.9,29.8,29.7,0.03
12,25,22.8,17,22,18.2,11,88,82.5,77,14,7.9,3,29.9,29.7,29.3,0.02
13,31,26,22,21,17.9,11,88,72.3,56,30,15.2,7,29.6,29.3,29.2,0.37
14,36,27.1,20,16,13.1,11,72,56.8,41,10,4.8,0,29.6,29.6,29.5,0.01
15,38,32.2,26,31,26.6,17,89,79.9,69,13,5.3,0,29.4,29.2,29,0
16,33,30.2,26,29,21.3,11,89,70.4,51,23,13.1,7,29.3,29.1,29,0.06
17,38,29.5,23,13,10,6,60,45.5,27,22,11.3,0,29.5,29.4,29.3,0
18,52,38.9,23,29,19,11,61,46.1,32,15,6.3,0,29.6,29.4,29.2,0
19,57,45.4,33,34,29.4,27,79,55.7,32,20,5.5,0,29.6,29.4,29.3,0
20,44,37.2,28,28,17.6,13,58,45.8,35,21,10.4,3,30.1,29.9,29.7,0
21,44,33.6,21,25,17,13,71,52.7,30,10,4.6,0,30.1,30,29.8,0
22,59,43.9,36,35,31.1,23,79,62.3,41,8,3.5,0,29.8,29.7,29.6,0
23,68,50.3,33,45,36.8,29,85,63.2,36,18,6,0,29.6,29.5,29.4,0
24,72,53.6,41,51,45.1,37,93,75.4,39,14,5.1,0,29.7,29.6,29.6,0
25,69,59.2,45,55,52.2,39,90,78.5,51,21,11.6,3,29.6,29.4,29.2,0.03
26,45,37.4,30,39,17.6,0,80,46.3,0,20,12.5,3,29.9,29.6,29.2,0.35
27,53,40.4,28,21,16.1,14,63,40.6,21,16,8.5,0,30.1,30,29.9,0
28,56,43.7,33,43,28.6,22,86,57.4,33,12,5,0,30.1,30,29.8,0
1,67,56.5,48,53,49.5,46,93,78.8,59,20,10.1,5,29.7,29.3,29,0.01
2,61,41,29,47,16.3,-3,69,38.4,21,23,16,6,29.7,29.3,29,0.01
3,34,26,17,18,3.4,-8,75,41.3,16,24,12.4,5,30.1,29.9,29.7,0
4,16,12.6,8,-4,-11.3,-15,51,34.3,24,28,16.9,6,30.2,30.1,30.1,0
5,30,18.3,7,-9,-12.7,-17,44,26.9,14,23,14.8,8,30.2,30.2,30.2,0
6,42,28,13,9,-5.1,-15,47,26.8,10,8,4.6,0,30.3,30.2,30.1,0
7,43,38.1,31,40,29.4,10,93,72.9,38,12,5.1,0,30.2,30,29.8,0
8,56,45.4,39,42,33.3,17,93,68.9,22,15,4.9,0,29.7,29.6,29.5,0.03
9,47,42.1,35,27,12.9,8,49,30.9,25,25,14.5,3,29.7,29.6,29.5,0.04
10,33,29.5,20,26,18.8,2,85,66.5,40,24,6.5,0,29.7,29.5,29.4,0
11,19,12.7,7,3,-9.8,-16,50,36.5,26,24,17.1,9,29.9,29.7,29.6,0.03
12,24,15.2,6,-5,-9.8,-15,42,32.9,25,20,13.4,8,30,29.9,29.9,0
13,34,22.6,12,6,-3.8,-8,43,32.8,19,16,7.3,0,30.2,30.1,30.1,0
14,30,26.9,24,27,21.5,10,89,80.7,51,24,12.9,0,30.1,29.5,28.8,0.05
15,28,23.3,17,16,8.8,5,66,54.7,45,18,10.5,6,29.3,29.1,28.9,0.44
16,33,25.5,19,9,5,1,59,43.1,26,17,11.4,5,29.7,29.5,29.3,0
17,40,28.7,18,13,7.8,2,65,44.5,24,13,5.3,0,30,29.8,29.7,0
18,37,26.6,14,19,12.5,6,77,57.2,37,14,5.5,0,30.1,30,30,0
19,41,33,29,22,18.8,16,69,57.3,36,15,9.1,0,30,30,29.9,0
20,51,38.2,25,18,13.5,9,63,39.9,18,15,6.5,0,29.8,29.8,29.7,0
21,53,43.3,32,27,20.8,16,56,41.2,32,10,4.1,0,29.6,29.6,29.5,0
22,38,26.6,16,25,5.3,-8,66,41.5,27,36,17.8,3,30.1,29.7,29.5,0
23,37,26,16,6,-2.7,-6,41,29.8,20,21,11.2,0,30.2,30.2,30.1,0
24,36,32.4,26,32,22,7,89,68.6,40,16,4.9,0,30.2,30,29.8,0
25,38,35.4,30,33,31.4,25,92,85.8,76,8,3.4,0,30.2,30,29.8,0.06
26,39,32.4,22,27,21.9,17,89,66.8,46,13,5.1,0,30.3,30.2,30.1,0.26
27,40,36.8,34,37,33.1,27,93,86.6,75,9,5.3,0,30.1,29.9,29.8,0.1
28,40,36.6,35,35,32.6,31,93,85.3,77,6,2.3,0,29.8,29.8,29.7,0.47
29,45,39.7,36,34,29.1,21,89,68.2,43,18,9.5,3,29.9,29.8,29.7,0.32
30,48,40.8,33,22,17.2,14,59,40.3,26,18,8.1,0,30,29.9,29.9,0
31,37,33.4,31,29,26.8,20,89,77.7,52,12,6.3,0,29.9,29.9,29.7,0
1,9,1.9,-4,-9,-12.2,-15,72,52.6,42,23,12,0,30,30,29.9,0
2,16,5.5,-10,5,-5.8,-15,79,61.3,39,12,4.9,0,30.1,30,29.9,0
3,27,16.3,4,6,3.2,0,84,58.3,37,9,3.6,0,30,29.9,29.8,0
4,27,19.8,6,25,14.6,2,93,80.8,60,33,19.2,5,29.8,29.1,28.7,0
5,22,10.4,1,9,-2.4,-14,69,56.6,48,21,14.5,9,29.5,29.2,28.9,0.33
6,11,4.1,-2,-8,-12.8,-17,52,45.8,40,21,13.7,9,30,29.7,29.5,0
7,16,6.2,-5,-4,-13.2,-18,57,42,27,16,7.8,0,30.2,30.1,29.9,0
8,34,26.1,17,23,10.6,-3,78,53.8,35,16,8.4,3,29.9,29.8,29.6,0
9,39,32.8,27,24,19.5,14,85,60.3,41,16,9.3,0,30.1,29.8,29.6,0
10,36,28.8,18,21,15,12,81,57.4,40,10,5.5,0,30.2,30.1,30.1,0
11,52,44.6,33,45,39.2,23,97,81.6,66,13,8,0,30.1,30,29.9,0
12,60,49.8,36,59,49.1,36,100,97.6,89,15,8.6,0,29.9,29.7,29.3,0
13,61,39,14,59,32.6,2,100,78.8,56,24,13.7,7,30.1,29.4,29,0.68
14,21,13.9,10,3,-3.1,-7,65,48.4,32,14,10.3,7,30.4,30.3,30.1,0
15,21,15,7,3,-2.9,-6,77,47.5,32,14,9.1,3,30.5,30.4,30.3,0
16,32,25.5,17,28,17.3,4,100,72,52,9,3.3,0,30.3,30.2,30.1,0
17,32,30.4,28,30,28.3,24,100,91.9,85,7,4,0,30.1,30,29.8,0.15
18,29,22,15,20,14.9,12,92,74.8,58,15,6.1,0,29.8,29.7,29.6,0.1
19,32,26.5,16,21,18.2,13,88,71.7,59,8,3.3,0,29.7,29.6,29.6,0
20,50,37.3,29,27,23.4,19,82,58.5,39,10,7.4,3,29.7,29.5,29.4,0
21,47,35.4,28,31,27.2,24,89,73.8,48,7,2.4,0,29.9,29.8,29.7,0
22,36,31,28,33,28.6,26,92,90.4,85,13,6.5,0,30,30,29.9,0
23,36,30,27,33,28.8,26,100,95.1,89,9,4.4,0,29.9,29.6,29.2,0.05
24,38,30.9,20,30,20.3,8,96,65.7,51,18,11,3,29.8,29.6,29.3,0.57
25,26,21,17,6,1.9,-3,62,45.2,28,23,13,7,30.2,30,29.8,0
26,32,22.5,17,12,3.6,-2,71,45.9,28,16,6.8,0,30.4,30.3,30.2,0
27,52,38,19,38,24,10,81,59.5,35,14,7.9,0,30.3,30,29.9,0
28,50,43.2,31,41,31.2,21,86,65.3,32,8,3.5,0,30,29.9,29.9,0
29,37,31.8,26,26,19,5,89,61.3,39,13,7.3,0,30.1,30,29.9,0
30,31,25.9,19,8,2.9,-3,50,37.7,30,20,13.5,10,29.8,29.7,29.6,0
31,31,24,16,10,3,-2,59,42.3,25,16,8.6,3,29.9,29.8,29.7,0
1,41,32.9,28,33,24.6,11,92,72.9,47,10,7.3,3,29.7,29.6,29.5,0
2,37,25.7,8,35,16.8,-7,97,71.1,40,21,12.4,3,29.9,29.6,29.5,0.19
3,25,16.4,6,9,1.3,-7,63,52.2,43,13,7.3,5,30.1,30,30,0
4,42,35.4,22,41,28,11,100,76.4,45,14,8.7,0,30,29.8,29.4,0
5,40,34.3,21,39,24,0,100,70.6,32,22,8.4,0,30,29.5,29.2,0.39
6,32,25.3,20,17,12,4,72,57.4,50,13,6.2,0,30.2,30.1,30,0
7,31,26.1,17,30,22.6,13,96,86.6,72,12,3.6,0,30.3,29.9,29.6,0
8,29,22.8,16,23,12.8,8,84,66.4,45,17,8.8,0,30.1,30,29.7,0.7
9,27,20.4,9,21,12.4,5,88,72.2,53,10,4,0,30.3,30.2,30.1,0
10,46,37.6,27,43,35.3,22,100,91.5,81,10,3,0,30.1,29.9,29.8,0
11,39,36.7,34,38,36,33,100,97.5,93,7,3.1,0,29.9,29.8,29.6,0.23
12,41,35.7,28,36,24.5,10,100,67.7,34,15,7.2,0,30.4,29.9,29.6,0.66
13,31,26.2,21,17,7.2,0,63,46.3,28,13,6.9,0,30.6,30.4,30.3,0
14,47,34.6,27,31,25.3,16,89,69.8,54,10,5.8,0,30.2,29.9,29.7,0
15,50,40,28,44,36.6,26,100,88.2,68,12,4.1,0,29.7,29.5,29.3,0
16,47,41.1,30,44,38.1,15,100,90.4,54,22,3.7,0,29.8,29.3,29.3,0.01
17,36,29.8,23,28,13.4,2,96,55.1,25,16,7.9,0,30.1,30,29.8,0.03
18,41,32.5,25,29,24.3,19,96,74.5,45,20,7.3,0,30.2,29.9,29.6,0.32
19,48,35.5,18,43,27.7,15,97,75.4,46,17,6,0,30.3,30.1,30,0
20,66,51.3,41,51,46.3,39,100,85.1,58,10,4.3,0,30,30,29.9,0.11
21,76,50.4,36,55,41.7,26,100,76.3,38,16,5.8,0,30.2,29.9,29.8,0
22,46,35.2,25,30,24.9,17,100,70.3,41,15,6.3,0,30.4,30.4,30.2,0
23,40,32.8,23,34,27.4,21,96,82.3,47,14,5.6,0,30.4,30.2,29.8,0.1
24,51,41,33,37,31.9,27,97,73.2,44,15,6.4,0,30,29.8,29.7,0.08
25,37,35,32,36,31.7,23,97,88.4,64,9,5,0,30.1,29.9,29.7,0
26,51,38.6,32,36,29.5,19,100,75.6,29,16,3.5,0,29.9,29.8,29.7,0.33
27,52,40.6,28,23,18.8,14,78,45.5,22,16,5.7,0,30,29.9,29.8,0
28,62,49.1,37,31,23.8,17,59,40.1,18,16,7.2,3,29.8,29.7,29.6,0
1,56,47,36,48,32.8,26,88,60.1,34,14,7.5,0,29.6,29.6,29.5,0
2,43,39,34,38,31.6,18,92,76.6,38,26,18.3,7,29.5,29.3,29.2,0.12
3,49,42,38,33,25,17,70,51.6,37,23,17.7,13,29.8,29.7,29.5,0.58
4,43,39.7,37,29,23.1,21,73,52,42,17,11,0,29.8,29.8,29.7,0
5,45,36.1,32,29,25.1,20,88,67,38,18,11.6,5,29.8,29.8,29.7,0
6,40,33.9,28,22,20.3,19,75,57.8,43,10,4.8,0,29.8,29.8,29.8,0
7,33,32.1,31,30,28.3,23,96,86.2,66,20,11.3,3,29.8,29.6,29.3,0.01
8,35,32.3,30,32,29.3,24,96,88.8,79,21,8.8,3,29.3,29.3,29.3,0.36
9,36,31.5,25,30,25.3,22,96,78.7,59,10,4.8,0,29.4,29.4,29.3,0.1
10,39,34.4,29,27,21.7,19,85,61.5,45,15,8.4,0,29.6,29.5,29.4,0.01
11,43,35.9,31,23,21.4,20,69,56.5,42,14,7,0,29.8,29.7,29.6,0
12,42,34,23,32,25.4,18,86,72.1,47,12,5.8,0,29.8,29.8,29.6,0
13,35,32.3,30,31,28.2,25,89,85,78,23,15,6,29.6,29.3,29.2,0.04
14,39,34.8,32,29,26.5,25,85,72.3,57,15,8.6,3,29.2,29.1,29.1,0.49
15,43,36.9,33,30,23.6,21,89,60.3,42,17,10.2,5,29.2,29.1,29,0
16,37,32.9,29,23,14.3,9,64,47.5,36,28,13.1,3,29.5,29.3,29.2,0
17,37,27.8,17,12,4.2,-7,45,37,29,24,13.1,3,29.6,29.4,29.3,0
18,31,21.8,14,0,-5.7,-9,39,30.6,20,20,10.5,0,29.6,29.6,29.6,0
19,35,26.7,19,5,-0.6,-7,39,31,25,20,11.2,3,29.7,29.6,29.6,0
20,43,32.8,22,18,8.7,4,54,37.8,22,12,6.4,0,29.7,29.7,29.6,0
21,41,35.7,30,22,17,13,61,47.2,40,14,10.2,0,29.6,29.6,29.5,0
22,50,40.5,34,30,23.8,16,85,54.3,27,20,13.7,6,29.6,29.5,29.4,0
23,48,41.4,34,22,18.8,16,56,41.4,29,14,8.2,3,29.7,29.7,29.6,0
24,47,40,35,32,23.5,16,89,54.7,29,13,7.1,0,29.9,29.8,29.7,0
25,41,36.2,30,33,23.9,17,86,63.6,40,16,8.2,0,30.3,30.1,29.9,0.04
26,48,36.5,26,22,16,8,78,48,21,10,4.4,0,30.5,30.4,30.4,0
27,50,39.1,26,21,13.6,3,75,42,15,8,4.5,0,30.4,30.2,30,0
28,60,46.8,38,36,26.8,13,73,47.2,33,9,2,0,29.9,29.8,29.7,0
29,56,45.7,35,42,35.3,30,90,69.2,45,10,3.3,0,29.8,29.7,29.6,0
30,55,48.2,44,51,42.8,32,96,82.8,57,17,4.2,0,29.6,29.5,29.4,0.02
31,57,47.9,39,28,14.9,8,53,29,14,18,11.9,3,30,29.8,29.7,0.02
1,51,37.6,29,40,30.5,12,100,78.2,49,22,7.9,0,29.9,29.4,29.2,0.55
2,33,27.5,24,12,7.2,-2,57,43.8,22,12,5.8,0,30.1,30,29.9,0
3,39,32.4,28,30,25.6,15,93,77.1,56,8,3.4,0,29.8,29.6,29.6,0.02
4,45,38,34,27,24.3,22,75,58.4,42,12,6.7,0,29.7,29.6,29.5,0.03
5,40,35.2,31,34,30.8,27,92,84.3,77,12,4.4,0,29.5,29.4,29.3,0
6,42,34,22,29,21.1,5,79,60.4,43,24,11.7,0,29.9,29.6,29.4,0.02
7,26,21.1,15,4,-2.8,-6,50,35.7,25,17,8.3,0,30.2,30.1,30,0
8,33,28.1,23,32,23.9,1,96,85.8,37,8,3.7,0,30.1,29.7,29.3,0.01
9,39,35.1,32,34,30.9,23,100,85.8,64,15,6,0,29.3,29.1,29,0.47
10,33,29.4,22,25,18.1,10,75,63.1,50,20,11.7,3,29.5,29.3,29.1,0.01
11,24,18.8,11,9,2.5,-5,60,49.6,38,21,12.6,7,30.1,29.8,29.6,0
12,23,15.7,10,1,-2,-5,56,46.3,35,14,8.8,5,30.2,30.2,30.1,0
13,27,17.6,10,8,3.3,-1,70,54.2,39,10,5.8,0,30.2,30.2,30.1,0
14,32,20.8,12,13,7.8,5,74,58.6,40,10,5.6,0,30.1,30,29.8,0
15,34,26.2,21,18,13.3,4,81,59.2,48,15,6.1,0,29.8,29.8,29.8,0
16,37,28.6,18,21,17.5,7,88,65,44,15,6.7,0,29.9,29.7,29.6,0
17,26,19.4,11,2,-2.4,-7,56,39.6,25,15,5.9,0,30.1,30.1,29.9,0
18,35,28.5,20,25,15.7,5,70,59.3,46,9,2.5,0,30,29.8,29.7,0
19,32,25.6,18,20,14,9,85,63.2,45,15,6.7,0,30.1,30,29.9,0
20,22,16.1,4,18,10.8,-11,88,80.1,50,24,11.9,5,29.8,29.3,29,0.16
21,5,2.6,1,-7,-11,-13,63,53.5,46,23,18.3,13,29.9,29.6,29.3,0.32
22,25,14.8,5,0,-8.9,-13,46,35.8,21,22,9.9,0,30.3,30.2,29.9,0
23,41,31.5,12,34,17.8,-1,76,57.4,40,15,9.1,0,30.2,29.9,29.6,0
24,56,46.6,37,55,43.7,28,100,90,68,17,8.4,0,29.6,29.2,28.9,0.14
25,37,32.8,25,25,15.1,4,64,49.1,33,15,8.9,3,29.8,29.6,29.3,1.45
26,31,24.2,19,10,6.4,3,68,48,33,9,4.7,0,30,29.9,29.9,0
27,43,29.3,14,28,18.4,9,80,64.9,50,21,6.3,0,30,29.8,29.6,0
28,35,24.2,18,18,3.4,-3,52,41.4,31,15,9,3,29.9,29.8,29.7,0
29,23,19,13,20,10.5,0,92,70.8,47,12,6.7,3,29.9,29.8,29.6,0
30,29,20.2,5,18,9.4,-16,88,66.7,26,25,12.1,0,29.8,29.5,29.4,0.27
31,15,7.5,1,-11,-14.3,-18,45,37,28,15,8.6,6,30,29.9,29.8,0
1,21,11.4,3,-3,-7.4,-12,59,43.6,30,12,5.5,0,30.1,30,30,0
2,33,19.1,0,19,2.5,-7,80,51.6,26,13,5.3,0,30,29.8,29.6,0
3,35,28.2,19,26,19.4,13,82,69.8,59,8,3.1,0,29.9,29.9,29.8,0
4,62,42,27,42,31.3,0,89,69.3,0,8,2.9,0,29.8,29.7,29.7,0
5,61,47.6,34,42,35.2,26,92,63.8,44,15,8.3,3,29.8,29.6,29.6,0
6,40,33.4,29,31,22,16,92,64.6,41,17,7.1,3,30,29.9,29.9,0
7,36,34.4,33,35,32.7,31,97,93.5,89,7,4.4,0,29.9,29.9,29.8,0
8,49,36.5,28,42,28.9,4,100,78.8,34,20,7,0,29.8,29.6,29.4,0.04
9,31,26.2,22,10,-2.6,-9,55,29.8,18,29,15.5,5,30.3,30.1,29.8,0.05
10,33,26.4,20,10,2.3,-3,49,36.5,23,14,7.2,0,30.3,30.2,30.1,0
11,32,26.6,19,9,2.2,-7,51,36.5,24,15,10.7,7,30.2,30.1,30,0
12,24,19.5,14,21,8.1,-7,93,65,34,10,7,0,30.2,30,29.6,0
13,39,32.7,26,32,27.6,14,96,82.4,51,15,7.8,0,29.5,29.3,29.2,0.86
14,38,30.9,26,20,16.1,13,78,55.7,39,17,7.2,0,29.8,29.6,29.4,0
15,38,34,25,36,30.7,19,100,87.7,73,5,1.4,0,29.8,29.5,29.3,0
16,39,34.4,25,27,17.3,10,62,50.1,43,15,10.3,3,29.7,29.5,29.4,0.01
17,34,26.6,19,16,6.8,0,61,45.1,24,12,5,0,29.9,29.8,29.8,0
18,28,26,17,22,19.5,1,84,76.6,50,21,7.5,0,30,29.6,29.6,0
19,29,20.6,13,3,0.9,-3,62,43.8,27,17,9.5,0,30.3,30.2,30,0.02
20,29,21.8,11,21,8.3,1,88,59.2,34,10,3.7,0,30.3,30.2,29.9,0
21,46,31.5,23,34,24.8,20,92,78.3,45,17,6.8,0,29.9,29.7,29.5,0.37
22,42,37.3,32,23,19.6,17,61,49.3,38,16,9.5,3,30.2,30,29.8,0
23,39,31.2,24,21,16.6,14,71,56.5,36,14,2.3,0,30.2,30.1,30,0
24,40,35.8,30,38,32.5,21,97,88,68,13,6.2,0,30,29.4,28.9,0.02
25,38,32.6,27,26,14.4,5,75,48,38,29,19,9,29.7,29.3,29,0.29
26,25,20.1,13,6,-3.5,-11,50,36.4,21,28,16.8,8,30.1,29.9,29.7,0
27,20,14,7,11,-5.7,-15,84,45,24,16,8.2,3,30.2,30,29.8,0
28,30,19.2,14,11,6.4,-2,84,61.3,25,10,5.8,0,30,29.9,29.8,0.04
1,37,24.6,10,19,10.1,2,73,55.6,36,8,3.4,0,30.1,30.1,30,0
2,34,29.9,25,25,18.4,10,82,63.6,37,14,5.7,0,30,29.8,29.7,0
3,41,33.4,25,30,22.3,15,92,66.3,35,14,4.8,0,29.9,29.8,29.7,0
4,37,31.9,22,30,24.7,2,96,76.4,42,16,8.9,0,29.7,29.5,29.4,0.32
5,30,22.5,16,4,2.7,0,57,43.3,30,10,6.2,0,29.8,29.7,29.6,0
6,25,18.8,14,4,-4.5,-11,54,37.3,21,22,9.8,3,29.9,29.7,29.6,0
7,26,18,8,4,-2.3,-10,61,42,30,13,6.8,0,30.1,29.9,29.9,0
8,36,24.4,10,9,5,0,73,45.9,29,10,4.7,0,30.1,30,29.9,0
9,43,30.2,16,17,10.8,4,77,48.9,20,12,3.4,0,30.2,30,29.9,0
10,35,32,26,33,28,17,96,85.6,64,13,7,0,30.2,29.9,29.6,0
11,45,38.4,32,33,26.4,20,96,65.7,38,21,9.1,0,29.7,29.6,29.6,0.38
12,42,36,31,21,16.5,12,57,45.8,31,22,11.7,3,30,29.8,29.7,0
13,43,34.5,24,30,15.8,11,79,49,30,8,3.4,0,30.1,30,30,0
14,49,41.1,35,35,28.4,26,79,62,44,10,3.8,0,30,30,29.8,0
15,66,51.8,41,52,46.9,36,100,83.8,60,14,7,0,29.8,29.5,29.3,0
16,53,45.7,35,52,30.2,14,100,58.5,34,21,9.3,0,29.7,29.5,29.3,0.03
17,38,33.8,30,15,8.3,3,49,35.1,23,21,10.6,5,29.9,29.8,29.7,0
18,40,32.1,24,12,6.5,1,55,36,20,15,6.7,0,30,29.9,29.9,0
19,42,32.8,23,16,11.4,4,72,44.3,22,12,4.1,0,30.1,30.1,30,0
20,52,37.5,22,26,16.9,12,75,47.7,22,12,4.9,0,30.1,30.1,30,0
21,50,41.8,31,33,25.9,20,79,55.5,35,16,8.5,0,30,29.9,29.6,0
22,42,38.9,36,37,33.6,30,93,81.9,65,21,12.2,5,29.6,29.1,28.8,0.02
23,52,38.6,35,50,23.9,9,94,58.1,34,24,15.7,5,29.9,29.3,28.9,0.08
24,57,44.8,32,21,11.5,7,41,27.8,14,14,8.5,0,29.8,29.7,29.6,0
25,46,39.9,30,26,9.2,-7,58,32,12,17,9.7,0,29.8,29.8,29.7,0
26,42,33.2,23,15,3.9,-3,72,33.4,15,17,7.5,0,30.1,30,29.9,0
27,46,35.8,23,17,3.7,-4,55,29.1,12,13,5.2,0,30.3,30.2,30.1,0
28,56,42.8,30,32,22.8,17,66,47.3,27,18,11.5,7,30.2,30,29.9,0
29,54,46.5,40,48,38.5,29,97,74.7,55,9,5.3,0,29.9,29.8,29.8,0
30,59,47,39,48,40.3,36,100,79,55,14,4.6,0,29.9,29.8,29.6,0.07
31,66,54,39,54,46.6,31,93,76.7,56,18,11.6,5,29.6,29.4,29.3,0

